Benchmark,Mode,Threads,Samples,Score,Score Error (99.9%),Unit,Param: filename,Param: thumbSize
thumbnail.ThumbnailBenchmark.subsampling2:ובgc.count,avgt,1,3,1,NaN,counts,mountains-20mb.jpg,200
thumbnail.ThumbnailBenchmark.subsampling2:ובgc.time,avgt,1,3,73,NaN,ms,mountains-20mb.jpg,200
thumbnail.ThumbnailBenchmark.subsampling2,avgt,1,3,12,2,s/op,australia-250mb.png,200
thumbnail.ThumbnailBenchmark.subsampling2:ובgc.alloc.rate,avgt,1,3,31,6,MB/sec,australia-250mb.png,200
thumbnail.ThumbnailBenchmark.subsampling2:ובgc.alloc.rate.norm,avgt,1,3,"415,504,339","5,591,232",B/op,australia-250mb.png,200
thumbnail.ThumbnailBenchmark.subsampling2:ובgc.churn.PS_Eden_Space,avgt,1,3,27,844,MB/sec,australia-250mb.png,200
thumbnail.ThumbnailBenchmark.subsampling2:ובgc.churn.PS_Eden_Space.norm,avgt,1,3,"357,913,941","11,309,742,166",B/op,australia-250mb.png,200
thumbnail.ThumbnailBenchmark.subsampling2:ובgc.count,avgt,1,3,1,NaN,counts,australia-250mb.png,200
thumbnail.ThumbnailBenchmark.subsampling2:ובgc.time,avgt,1,3,230,NaN,ms,australia-250mb.png,200
thumbnail.ThumbnailBenchmark.subsampling2,avgt,1,3,9,3,s/op,salt-lake-340mb.jpg,200
thumbnail.ThumbnailBenchmark.subsampling2:ובgc.alloc.rate,avgt,1,3,41,11,MB/sec,salt-lake-340mb.jpg,200
thumbnail.ThumbnailBenchmark.subsampling2:ובgc.alloc.rate.norm,avgt,1,3,"426,506,885","6,029,149",B/op,salt-lake-340mb.jpg,200
thumbnail.ThumbnailBenchmark.subsampling2:ובgc.churn.PS_Eden_Space,avgt,1,3,35,"1,104",MB/sec,salt-lake-340mb.jpg,200
thumbnail.ThumbnailBenchmark.subsampling2:ובgc.churn.PS_Eden_Space.norm,avgt,1,3,"356,844,573","11,275,951,148",B/op,salt-lake-340mb.jpg,200
thumbnail.ThumbnailBenchmark.subsampling2:ובgc.count,avgt,1,3,1,NaN,counts,salt-lake-340mb.jpg,200
thumbnail.ThumbnailBenchmark.subsampling2:ובgc.time,avgt,1,3,3,NaN,ms,salt-lake-340mb.jpg,200
thumbnail.ThumbnailBenchmark.subsampling4,avgt,1,3,0,0,s/op,land-100kb.jpg,200
thumbnail.ThumbnailBenchmark.subsampling4:ובgc.alloc.rate,avgt,1,3,35,12,MB/sec,land-100kb.jpg,200
thumbnail.ThumbnailBenchmark.subsampling4:ובgc.alloc.rate.norm,avgt,1,3,"201,094","12,187",B/op,land-100kb.jpg,200
thumbnail.ThumbnailBenchmark.subsampling4:ובgc.count,avgt,1,3,0,NaN,counts,land-100kb.jpg,200
thumbnail.ThumbnailBenchmark.subsampling4,avgt,1,3,0,0,s/op,crowd-3mb.jpg,200
thumbnail.ThumbnailBenchmark.subsampling4:ובgc.alloc.rate,avgt,1,3,25,8,MB/sec,crowd-3mb.jpg,200
thumbnail.ThumbnailBenchmark.subsampling4:ובgc.alloc.rate.norm,avgt,1,3,"8,063,189","897,476",B/op,crowd-3mb.jpg,200
thumbnail.ThumbnailBenchmark.subsampling4:ובgc.count,avgt,1,3,0,NaN,counts,crowd-3mb.jpg,200
